Folder,Name,Type,Size,Created,Modified
sf-investors,Investments_2001,Document,22176,01-01-2001,01-06-2001
sf-investors,Investments_2002,Document,25340,02-01-2002,02-06-2002
sf-investors,Investments_2003,Document,27642,03-01-2003,01-06-2003
sf-investors,Investments_2004,Document,18731,02-01-2004,02-06-2004
sf-investors,Investments_2005,Document,16775,01-01-2005,01-06-2005
sf-investors,Investments_2006,Document,33242,10-01-2006,02-06-2006
sf-investors,Investments_2007,Document,9977,03-01-2007,01-06-2007
sf-fellows,Prestige_2001,Presentation,164234,01-01-2001,01-06-2001
sf-fellows,Prestige_2002,Presentation,13422,02-01-2002,02-06-2002
sf-fellows,Prestige_2003,Presentation,1142,03-01-2003,01-06-2003
sa-r_d,PatentOverview_2004,Spreadsheet,15456,02-01-2004,02-06-2004
sa-r_d,PatentOverview_2005,Spreadsheet,12242,01-01-2005,01-06-2005
sa-r_d,PatentOverview_2006,Spreadsheet,47744,10-01-2006,02-06-2006
sa-r_d,PatentOverview_2007,Spreadsheet,55777,03-01-2007,01-06-2007
sa-services,Income_2004,Spreadsheet,1545,02-01-2004,02-06-2004
sa-services,Income_2005,Spreadsheet,34564,01-01-2005,01-06-2005
sa-services,Income_2006,Spreadsheet,15464,10-01-2006,02-06-2006
sa-services,Income_2007,Spreadsheet,454,03-01-2007,01-06-2007
sa-support,Costs_2004,Spreadsheet,11223,02-01-2004,02-06-2004
sa-support,Costs_2005,Spreadsheet,44556,01-01-2005,01-06-2005
sa-support,Costs_2006,Spreadsheet,7897,10-01-2006,02-06-2006
sa-support,Costs_2007,Spreadsheet,12344,03-01-2007,01-06-2007
sa-billing,Billing_2004,Spreadsheet,135464,02-01-2004,02-06-2004
ny-marketing,BigPlan_2005,Presentation,445156,01-01-2005,01-06-2005
ny-marketing,BigPlan_2006,Presentation,789711,10-01-2006,02-06-2006
ny-marketing,Top_2007,Presentation,123441,03-01-2007,01-06-2007
ny-sales,ForSale,Presentation,13546,01-01-2005,01-06-2005
ny-sales,WeAreForSale,Presentation,13544,10-01-2006,02-06-2006
ny-sales,Priceless,Presentation,11334,03-01-2007,01-06-2007
ny-advisors,GeneralAdvice,Presentation,134576,01-01-2005,01-06-2005
ny-advisors,MothersAdivce,Presentation,9754,10-01-2006,02-06-2006
frank-sales,Verkaufen,Presentation,134,01-01-2005,01-06-2005
